,id,uid,sci_name,kingdom
464,1013,38868,Salvia officinalis,33090
465,1014,41230,Marrubium vulgare,33090
466,1015,2839963,Zanthoxylum asiaticum,33090
467,1017,441178,Blumea densiflora,33090
468,1019,4465,Acorus calamus,33090
469,1020,48106,Centella asiatica,33090
470,1021,2764691,Xanthium mongolicum,33090
471,1022,159357,Citronella gongonha,33090
472,1024,175694,Andrographis paniculata,33090
473,1025,63479,Nerium oleander,33090
474,1027,1255808,Polyalthia bullata,33090
475,1028,37565,Ruta graveolens,33090
476,1033,1387576,Caesalpinia bahamensis,33090
477,1034,252529,Citrullus colocynthis,33090
478,1036,2942076,Orchis hatagirea,33090
479,1037,928200,Eucomis autumnalis,33090
480,1039,434060,Prunus humilis,33090
481,1040,55670,Stevia rebaudiana,33090
482,1042,3498,Morus alba,33090
483,1043,63479,Nerium oleander,33090
484,1052,239565,Dryopteris fragrans,33090
485,1052,4097,Nicotiana tabacum,33090
486,1055,992840,Cordia dichotoma,33090
487,1057,34199,Aloe vera,33090
488,1059,40916,Crithmum maritimum,33090
489,1061,3735,Moringa oleifera,33090
490,1062,182111,Ficus deltoidea,33090
491,1063,555479,Nigella sativa,33090
492,1064,648879,Streblus asper,33090
493,1065,54477,Vitex agnus-castus,33090
494,1066,182084,Gynostemma pentaphyllum,33090
495,1067,48106,Centella asiatica,33090
496,1068,56065,Pongamia pinnata,33090
497,1070,405945,Leonurus sibiricus,33090
498,1071,49666,Paris polyphylla,33090
499,1072,3649,Carica papaya,33090
500,1073,1335104,Zingiber sp. LR-2013,33090
501,1074,59170,Valeriana jatamansi,33090
502,1078,41554,Coreopsis tinctoria,33090
503,1079,51089,Myristica fragrans,33090
504,1080,272846,Asparagus racemosus,33090
505,1081,266091,Gynochthodes officinalis,33090
506,1083,4054,Panax ginseng,33090
507,1084,425828,Lithocarpus litseifolius,33090
508,1085,22663,Punica granatum,33090
509,1086,204144,Ocimum gratissimum,33090
510,1087,175694,Andrographis paniculata,33090
511,1088,158927,Calophyllum inophyllum,33090
512,1089,377274,Melianthus comosus,33090
513,1090,65561,Hypericum perforatum,33090
514,1091,97729,Boesenbergia rotunda,33090
515,1094,68527,Aegle marmelos,33090
516,1095,16906,Cornus officinalis,33090
517,1097,346985,Senna obtusifolia,33090
518,1098,204215,Vitex trifolia,33090
519,1099,65557,Alcea rosea,33090
520,1103,41228,Plectranthus barbatus,33090
521,1104,4060,Rauvolfia serpentina,33090
522,1106,65561,Hypericum perforatum,33090
523,1107,48386,Perilla frutescens,33090
524,1108,93759,Corchorus olitorius,33090
525,1109,168495,Buddleja globosa,33090
526,1110,226208,Salvia miltiorrhiza,33090
527,1111,328401,Zanthoxylum bungeanum,33090
528,1113,2867270,Artemisia pallens,33090
529,1114,4058,Catharanthus roseus,33090
530,1115,182129,Ficus sycomorus,33090
