"","id","uid","sci_name"
"355",770,"225785","Colchicum luteum"
"356",771,"714457","Clinacanthus nutans"
"357",773,"75953","Lactuca indica"
"358",779,"39388","Verbascum thapsus"
"359",780,"147273","Taxus wallichiana"
"360",783,"60093","Vinca minor"
"361",784,"458696","Tripterygium wilfordii"
"362",786,"39358","Prunella vulgaris"
"363",788,"76974","Atalantia buxifolia"
"364",790,"653064","Bauhinia monandra"
"365",791,"159386","Nothapodytes nimmoniana"
"366",792,"447484","Hemsleya amabilis"
"367",793,"1652688","Kadsura philippinensis"
"368",794,"2878461","Diaporthe sp. XT-2021a"
"369",794,"354507","Orixa japonica"
"370",795,"85363","Aconitum carmichaelii"
"371",797,"199392","Baeckea frutescens"
"372",799,"713888","Mucor irregularis"
"373",800,"356275","Naregamia alata"
"374",803,"474922","Colletotrichum gloeosporioides"
"375",804,"29845","Penicillium vulpinum"
"376",804,"714503","Sophora tonkinensis"
"377",807,"52862","Thevetia peruviana"
"378",808,"1898706","Getonia floribunda"
"379",810,"49666","Paris polyphylla"
"380",811,"119828","Hedysarum polybotrys"
"381",812,"1553915","Paramignya trimera"
"382",813,"73976","Asteriscus graveolens"
"383",814,"173185","Pestalotiopsis palmarum"
"384",815,"1704624","Croton megalocarpoides"
"385",816,"458696","Tripterygium wilfordii"
"386",818,"46835","Fasciola gigantica"
"387",819,"201515","Caryopteris mongholica"
"388",820,"158555","Aristolochia manshuriensis"
"389",822,"2928425","Scorzonera radiata"
"390",823,"126435","Lantana camara"
"391",824,"108357","Sida acuta"
"392",825,"586110","Gaultheria fragrantissima"
"393",826,"72152","Centaurea stoebe"
"394",827,"427660","Gelsemium elegans"
"395",828,"108362","Sida cordifolia"
"396",829,"41496","Calendula officinalis"
"397",830,"2575763","Muyocopron laterale"
"398",833,"193516","Hippophae rhamnoides"
"399",834,"323025","Croton antisyphiliticus"
"400",835,"2448053","Eclipta alba"
"401",836,"768177","Dracocephalum heterophyllum"
"402",837,"2839963","Zanthoxylum asiaticum"
"403",838,"377125","Apocynum venetum"
"404",839,"1715255","Xylaria sp."
"405",841,"751808","Clinopodium polycephalum"
"406",842,"2753872","Daphne acutiloba"
