id,plant_name,uid,count,height,part,duration,medicinal_activites,products,population,clinical_trial_count
481,Oryza sativa,4530,9,,,,,,,225
482,Ouret lanata,292353,9,,,,,,,0
483,Papaver bracteatum,215227,9,,,,,,,0
484,Persicaria tinctoria,96455,9,,,,,,,0
485,Piper sarmentosum,405319,9,,,,,,,0
486,Pluchea indica,175518,9,,,,,,,0
487,Polygala tenuifolia,355332,9,,,,,,,0
488,Pongamia pinnata,56065,9,,,,,,,0
489,Pueraria candollei,480421,9,,,,,,,0
490,Quercus infectoria,39470,9,,,,,,,0
491,Rhamnus prinoides,280022,9,,,,,,,0
492,Satureja khuzistanica,1114304,9,,,,,,,0
493,Satureja montana,49988,9,,,,,,,0
494,Senegalia catechu,138017,9,,,,,,,2
495,Sesbania grandiflora,206309,9,,,,,,,0
496,Siraitia grosvenorii,190515,9,,,,,,,1
497,Smallanthus sonchifolius,185202,9,,,,,,,0
498,Symphytum officinale,278672,9,,,,,,,0
499,Tanacetum vulgare,128002,9,,,,,,,0
500,Taxus wallichiana,147273,9,,,,,,,0
501,Tephrosia purpurea,228354,9,,,,,,,0
502,Tulbaghia violacea,51492,9,,,,,,,0
503,Tussilago farfara,118778,9,,,,,,,0
504,Vinca minor,60093,9,,,,,,,0
505,Viola tricolor,214053,9,,,,,,,0
506,Warburgia ugandensis,549619,9,,,,,,,0
507,Zanthoxylum asiaticum,2839963,9,,,,,,,0
508,Abutilon indicum,318060,8,,,,,,,0
509,Actaea racemosa,64040,8,,,,,,,21
510,Ammi visnaga,1053409,8,,,,,,,0
511,Annona squamosa,301693,8,,,,,,,10
512,Arbutus unedo,84005,8,,,,,,,1
513,Artemisia arborescens,72386,8,,,,,,,0
514,Blumea balsamifera,313920,8,,,,,,,0
515,Bridelia ferruginea,319147,8,,,,,,,0
516,Calophyllum inophyllum,158927,8,,,,,,,0
517,Cardiospermum halicacabum,289799,8,,,,,,,0
518,Citrus x limon,2708,8,,,,,,,37
519,Conioselinum officinale,54711,8,,,,,,,0
520,Cordia dichotoma,992840,8,,,,,,,0
521,Cornus mas,4285,8,,,,,,,2
522,Cosmos caudatus,1125397,8,,,,,,,1
523,Cotinus coggygria,269719,8,,,,,,,0
524,Curcuma xanthorrhiza,136222,8,,,,,,,0
525,Cymbopogon martini,79837,8,,,,,,,0
526,Cynodon dactylon,28909,8,,,,,,,0
527,Cynomorium songaricum,627609,8,,,,,,,0
528,Digitalis purpurea,4164,8,,,,,,,3
529,Dioscorea nipponica,64700,8,,,,,,,0
530,Dracocephalum ibericum,1898806,8,,,,,,,0
531,Drimia indica,81800,8,,,,,,,0
532,Echinacea angustifolia,308558,8,,,,,,,23
533,Eriobotrya japonica,32224,8,,,,,,,0
534,Eschenbachia blinii,1408201,8,,,,,,,0
535,Etlingera elatior,188493,8,,,,,,,0
536,Ferula gummosa,371349,8,,,,,,,0
537,Filipendula ulmaria,57917,8,,,,,,,0
538,Gelsemium elegans,427660,8,,,,,,,0
539,Glycyrrhiza inflata,74614,8,,,,,,,0
540,Harpagophytum procumbens,222879,8,,,,,,,3
541,Hedychium spicatum,110723,8,,,,,,,0
542,Juniperus phoenicea,61308,8,,,,,,,0
543,Lagerstroemia speciosa,122810,8,,,,,,,0
544,Leonurus japonicus,4138,8,,,,,,,0
545,Leonurus sibiricus,405945,8,,,,,,,0
546,Lithospermum erythrorhizon,34254,8,,,,,,,0
547,Malva parviflora,145753,8,,,,,,,0
548,Melaleuca alternifolia,164405,8,,,,,,,17
549,Melia dubia,43709,8,,,,,,,0
550,Mesostemma dichotomum,2873749,8,,,,,,,0
